record_type,player_id,school,season,jersey,name,position,is_goalkeeper,class_year,hometown,height,weight,previous_school,game_id,date,opponent,score,location,conference,division,games_played,games_started,minutes,goals,assists,shots,shots_on_goal,fouls,yellow_cards,red_cards,saves,goals_against,save_percentage,shutouts
player_game_stat,Harding_2024_player_7,Harding,2024,,,,,,,,,,Harding_2024_game_012,11/09/24,at Northeastern St.,,,,,*,*,1,0,0,0,0,0,0,0,,,,
player,Harding_2024_player_8,Harding,2024,8,Lesego Maloma,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_8,Harding,2024,,,,,,,,,,Harding_2024_game_001,09/05/24,UNION (TN),,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_8,Harding,2024,,,,,,,,,,Harding_2024_game_002,09/10/24,MISSISSIPPI COL.,,,,,*,*,1,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_8,Harding,2024,,,,,,,,,,Harding_2024_game_003,09/28/24,at Rogers St.,,,,,* ,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_8,Harding,2024,,,,,,,,,,Harding_2024_game_004,10/03/24,SOUTHERN NAZARENE,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_8,Harding,2024,,,,,,,,,,Harding_2024_game_005,10/06/24,DELTA ST.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_8,Harding,2024,,,,,,,,,,Harding_2024_game_006,10/10/24,NEWMAN,,,,,*,1,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_8,Harding,2024,,,,,,,,,,Harding_2024_game_007,10/12/24,FORT HAYS ST.,,,,,*,*,1,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_8,Harding,2024,,,,,,,,,,Harding_2024_game_008,10/17/24,at Ouachita,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_8,Harding,2024,,,,,,,,,,Harding_2024_game_014,11/07/24,OUACHITA,,,,,*,* ,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_8,Harding,2024,,,,,,,,,,Harding_2024_game_012,11/09/24,at Northeastern St.,,,,,*,* ,0,0,0,0,0,0,0,0,,,,
player,Harding_2024_player_9,Harding,2024,9,Davis Weir,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_9,Harding,2024,,,,,,,,,,Harding_2024_game_005,10/06/24,DELTA ST.,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player,Harding_2024_player_10,Harding,2024,10,Oliver Eckhardt,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_10,Harding,2024,,,,,,,,,,Harding_2024_game_001,09/05/24,UNION (TN),,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_10,Harding,2024,,,,,,,,,,Harding_2024_game_002,09/10/24,MISSISSIPPI COL.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_10,Harding,2024,,,,,,,,,,Harding_2024_game_003,09/28/24,at Rogers St.,,,,,* ,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_10,Harding,2024,,,,,,,,,,Harding_2024_game_004,10/03/24,SOUTHERN NAZARENE,,,,,*,* ,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_10,Harding,2024,,,,,,,,,,Harding_2024_game_005,10/06/24,DELTA ST.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_10,Harding,2024,,,,,,,,,,Harding_2024_game_006,10/10/24,NEWMAN,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_10,Harding,2024,,,,,,,,,,Harding_2024_game_007,10/12/24,FORT HAYS ST.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_10,Harding,2024,,,,,,,,,,Harding_2024_game_008,10/17/24,at Ouachita,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player,Harding_2024_player_11,Harding,2024,11,Nojus Grudis,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_11,Harding,2024,,,,,,,,,,Harding_2024_game_001,09/05/24,UNION (TN),,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_11,Harding,2024,,,,,,,,,,Harding_2024_game_002,09/10/24,MISSISSIPPI COL.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_11,Harding,2024,,,,,,,,,,Harding_2024_game_007,10/12/24,FORT HAYS ST.,,,,,* ,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_11,Harding,2024,,,,,,,,,,Harding_2024_game_008,10/17/24,at Ouachita,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_11,Harding,2024,,,,,,,,,,Harding_2024_game_009,10/19/24,ROGERS ST.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
